Wavelength(nm)	Intensity(counts)
199.2599	0.00
199.2599	0.00
199.2736	0.00
199.2736	0.00
199.2872	0.00
199.2872	0.00
199.3009	0.00
199.3009	0.00
199.3145	0.00
199.3145	0.00
199.3282	0.00
199.3282	0.00
199.3419	0.00
199.3419	0.00
199.3555	0.00
199.3555	0.00
199.3692	0.00
199.3692	0.00
199.3829	0.00
199.3829	0.00
199.3966	0.00
199.3966	0.00
199.4102	0.00
199.4102	0.00
199.4239	0.00
199.4239	0.00
199.4376	0.00
199.4376	0.00
199.4512	0.00
199.4512	0.00
199.4649	0.00
199.4649	0.00
199.4786	0.00
199.4786	0.00
199.4923	0.00
199.4923	0.00
199.5059	0.00
199.5059	0.00
199.5196	0.00
199.5196	0.00
199.5333	0.00
199.5333	0.00
199.5469	0.00
199.5469	0.00
199.5606	0.00
199.5606	0.00
199.5743	0.00
199.5743	0.00
199.5880	0.00
199.5880	0.00
199.6016	0.00
199.6016	0.00
199.6153	0.00
199.6153	0.00
199.6290	0.00
199.6290	0.00
199.6427	0.00
199.6427	0.00
199.6563	0.00
199.6563	0.00
199.6700	0.00
199.6700	0.00
199.6837	0.00
199.6837	0.00
199.6974	0.00
199.6974	0.00
199.7110	0.00
199.7110	0.00
199.7247	0.00
199.7247	0.00
199.7384	0.00
199.7384	0.00
199.7521	0.00
199.7521	0.00
199.7658	0.00
199.7658	0.00
199.7794	0.00
199.7794	0.00
199.7931	0.00
199.7931	0.00
199.8068	0.00
199.8068	0.00
199.8205	0.00
199.8205	0.00
199.8342	0.00
199.8342	0.00
199.8478	0.00
199.8478	0.00
199.8615	0.00
199.8615	0.00
199.8752	0.00
199.8752	0.00
199.8889	0.00
199.8889	0.00
199.9026	0.00
199.9026	0.00
199.9163	0.00
199.9163	0.00
199.9299	0.00
199.9299	0.00
199.9436	0.00
199.9436	0.00
199.9573	0.00
199.9573	0.00
199.9710	0.00
199.9710	0.00
199.9847	0.00
199.9847	0.00
199.9984	0.00
199.9984	0.00
200.0121	0.00
200.0121	0.00
200.0258	0.00
200.0258	0.00
200.0394	0.00
200.0394	0.00
200.0531	0.00
200.0531	0.00
200.0668	0.00
200.0668	0.00
200.0805	0.00
200.0805	0.00
200.0942	0.00
200.0942	0.00
200.1079	0.00
200.1079	0.00
200.1216	0.00
200.1216	0.00
200.1353	0.00
200.1353	0.00
200.1490	0.00
200.1490	0.00
200.1627	0.00
200.1627	0.00
200.1764	0.00
200.1764	0.00
200.1901	0.00
200.1901	0.00
200.2037	0.00
200.2037	0.00
200.2174	0.00
200.2174	0.00
200.2311	0.00
200.2311	0.00
200.2448	0.00
200.2448	0.00
200.2585	0.00
200.2585	0.00
200.2722	0.00
200.2722	0.00
200.2859	0.00
200.2859	0.00
200.2996	0.00
200.2996	0.00
200.3133	0.00
200.3133	0.00
200.3270	0.00
200.3270	0.00
200.3407	300.70
200.3407	300.70
200.3544	390.96
200.3544	390.96
200.3681	336.43
200.3681	336.43
200.3818	413.82
200.3818	413.82
200.3955	411.71
200.3955	411.71
200.4092	364.07
200.4092	364.07
200.4229	239.33
200.4229	239.33
200.4366	109.85
200.4366	109.85
200.4503	591.14
200.4503	591.14
200.4640	256.24
200.4640	256.24
200.4777	882.06
200.4777	882.06
200.4914	812.47
200.4914	812.47
200.5051	866.62
200.5051	866.62
200.5188	650.03
200.5188	650.03
200.5325	532.01
200.5325	532.01
200.5462	474.79
200.5462	474.79
200.5599	244.42
200.5599	244.42
200.5736	522.79
200.5736	522.79
200.5873	463.88
200.5873	463.88
200.6010	427.17
200.6010	427.17
200.6147	501.20
200.6147	501.20
200.6284	220.13
200.6284	220.13
200.6422	190.76
200.6422	190.76
200.6559	213.92
200.6559	213.92
200.6696	242.96
200.6696	242.96
200.6833	597.86
200.6833	597.86
200.6970	378.90
200.6970	378.90
200.7107	194.91
200.7107	194.91
200.7244	607.08
200.7244	607.08
200.7381	785.84
200.7381	785.84
200.7518	779.09
200.7518	779.09
200.7655	622.41
200.7655	622.41
200.7792	556.16
200.7792	556.16
200.7930	894.51
200.7930	894.51
200.8067	917.90
200.8067	917.90
200.8204	734.96
200.8204	734.96
200.8341	802.27
200.8341	802.27
200.8478	678.14
200.8478	678.14
200.8615	602.86
200.8615	602.86
200.8752	676.17
200.8752	676.17
200.8890	605.97
200.8890	605.97
200.9027	836.62
200.9027	836.62
200.9164	802.91
200.9164	802.91
200.9301	759.43
200.9301	759.43
200.9438	557.79
200.9438	557.79
200.9575	482.95
200.9575	482.95
200.9713	607.72
200.9713	607.72
200.9850	609.02
200.9850	609.02
200.9987	530.41
200.9987	530.41
201.0124	164.92
201.0124	164.92
201.0261	344.37
201.0261	344.37
201.0399	596.47
201.0399	596.47
201.0536	889.39
201.0536	889.39
201.0673	722.88
201.0673	722.88
201.0810	313.60
201.0810	313.60
201.0947	248.17
201.0947	248.17
201.1085	168.15
201.1085	168.15
201.1222	266.57
201.1222	266.57
201.1359	725.89
201.1359	725.89
201.1496	582.63
201.1496	582.63
201.1634	618.10
201.1634	618.10
201.1771	651.74
