Wavelength(nm)	Intensity(counts)
199.2599	0.00
199.2599	0.00
199.2736	0.00
199.2736	0.00
199.2872	0.00
199.2872	0.00
199.3009	0.00
199.3009	0.00
199.3145	0.00
199.3145	0.00
199.3282	0.00
199.3282	0.00
199.3419	0.00
199.3419	0.00
199.3555	0.00
199.3555	0.00
199.3692	0.00
199.3692	0.00
199.3829	0.00
199.3829	0.00
199.3966	0.00
199.3966	0.00
199.4102	0.00
199.4102	0.00
199.4239	0.00
199.4239	0.00
199.4376	0.00
199.4376	0.00
199.4512	0.00
199.4512	0.00
199.4649	0.00
199.4649	0.00
199.4786	0.00
199.4786	0.00
199.4923	0.00
199.4923	0.00
199.5059	0.00
199.5059	0.00
199.5196	0.00
199.5196	0.00
199.5333	0.00
199.5333	0.00
199.5469	0.00
199.5469	0.00
199.5606	0.00
199.5606	0.00
199.5743	0.00
199.5743	0.00
199.5880	0.00
199.5880	0.00
199.6016	0.00
199.6016	0.00
199.6153	0.00
199.6153	0.00
199.6290	0.00
199.6290	0.00
199.6427	0.00
199.6427	0.00
199.6563	0.00
199.6563	0.00
199.6700	0.00
199.6700	0.00
199.6837	0.00
199.6837	0.00
199.6974	0.00
199.6974	0.00
199.7110	0.00
199.7110	0.00
199.7247	0.00
199.7247	0.00
199.7384	0.00
199.7384	0.00
199.7521	0.00
199.7521	0.00
199.7658	0.00
199.7658	0.00
199.7794	0.00
199.7794	0.00
199.7931	0.00
199.7931	0.00
199.8068	0.00
199.8068	0.00
199.8205	0.00
199.8205	0.00
199.8342	0.00
199.8342	0.00
199.8478	0.00
199.8478	0.00
199.8615	0.00
199.8615	0.00
199.8752	0.00
199.8752	0.00
199.8889	0.00
199.8889	0.00
199.9026	0.00
199.9026	0.00
199.9163	0.00
199.9163	0.00
199.9299	0.00
199.9299	0.00
199.9436	0.00
199.9436	0.00
199.9573	0.00
199.9573	0.00
199.9710	0.00
199.9710	0.00
199.9847	0.00
199.9847	0.00
199.9984	0.00
199.9984	0.00
200.0121	0.00
200.0121	0.00
200.0258	0.00
200.0258	0.00
200.0394	0.00
200.0394	0.00
200.0531	0.00
200.0531	0.00
200.0668	0.00
200.0668	0.00
200.0805	0.00
200.0805	0.00
200.0942	0.00
200.0942	0.00
200.1079	0.00
200.1079	0.00
200.1216	0.00
200.1216	0.00
200.1353	0.00
200.1353	0.00
200.1490	0.00
200.1490	0.00
200.1627	0.00
200.1627	0.00
200.1764	0.00
200.1764	0.00
200.1901	0.00
200.1901	0.00
200.2037	0.00
200.2037	0.00
200.2174	0.00
200.2174	0.00
200.2311	0.00
200.2311	0.00
200.2448	0.00
200.2448	0.00
200.2585	0.00
200.2585	0.00
200.2722	0.00
200.2722	0.00
200.2859	0.00
200.2859	0.00
200.2996	0.00
200.2996	0.00
200.3133	0.00
200.3133	0.00
200.3270	0.00
200.3270	0.00
200.3407	-114.56
200.3407	-114.56
200.3544	173.66
200.3544	173.66
200.3681	19.65
200.3681	19.65
200.3818	184.87
200.3818	184.87
200.3955	39.56
200.3955	39.56
200.4092	-15.83
200.4092	-15.83
200.4229	-79.98
200.4229	-79.98
200.4366	-148.11
200.4366	-148.11
200.4503	-35.84
200.4503	-35.84
200.4640	-136.98
200.4640	-136.98
200.4777	-5.87
200.4777	-5.87
200.4914	159.91
200.4914	159.91
200.5051	-157.27
200.5051	-157.27
200.5188	-0.80
200.5188	-0.80
200.5325	5.39
200.5325	5.39
200.5462	-78.99
200.5462	-78.99
200.5599	18.54
200.5599	18.54
200.5736	-46.12
200.5736	-46.12
200.5873	40.59
200.5873	40.59
200.6010	20.98
200.6010	20.98
200.6147	-0.91
200.6147	-0.91
200.6284	-58.83
200.6284	-58.83
200.6422	2.33
200.6422	2.33
200.6559	6.73
200.6559	6.73
200.6696	197.32
200.6696	197.32
200.6833	66.14
200.6833	66.14
200.6970	-45.52
200.6970	-45.52
200.7107	238.51
200.7107	238.51
200.7244	167.03
200.7244	167.03
200.7381	168.60
200.7381	168.60
200.7518	222.13
200.7518	222.13
200.7655	317.40
200.7655	317.40
200.7792	305.46
200.7792	305.46
200.7930	220.19
200.7930	220.19
200.8067	445.99
200.8067	445.99
200.8204	287.74
200.8204	287.74
200.8341	351.23
200.8341	351.23
200.8478	246.30
200.8478	246.30
200.8615	320.43
200.8615	320.43
200.8752	215.43
200.8752	215.43
200.8890	399.90
200.8890	399.90
200.9027	232.08
200.9027	232.08
200.9164	94.67
200.9164	94.67
200.9301	87.34
200.9301	87.34
200.9438	137.90
200.9438	137.90
200.9575	192.91
200.9575	192.91
200.9713	61.32
200.9713	61.32
200.9850	285.26
200.9850	285.26
200.9987	377.19
200.9987	377.19
201.0124	48.65
201.0124	48.65
201.0261	-236.70
201.0261	-236.70
201.0399	308.32
201.0399	308.32
201.0536	-67.37
201.0536	-67.37
201.0673	161.70
201.0673	161.70
201.0810	314.30
201.0810	314.30
201.0947	192.95
201.0947	192.95
201.1085	29.49
201.1085	29.49
201.1222	74.89
201.1222	74.89
201.1359	42.26
201.1359	42.26
201.1496	180.25
